id,title,description,availability,condition,price,sale_price,sale_price_effective_date,link,image_link,brand,product_type,inventory,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,custom_number_3,custom_number_4,video[0].url,video[0].tag[0]
kit-novo-kit-promocional-2,Kit Cuidados NIVEA com 5 produtos,"Mantenha sua pele hidratada e protegida com este kit completo de cuidados NIVEA. Inclui: - 1 un NIVEA Hidratante Milk Pele Seca A Extrasseca (400ml) - 1 un NIVEA Creme Hidratante Lata (145g) - 1 un NIVEA Sabonete Líquido Creme Care Refil (200ml) - 1 un NIVEA Hidratante Labial Original Care (4,8g) - 1 un NIVEA Desodorante Aerossol Derma Control (200ml) Economia no kit: R$ 34,20 em comparação à compra avulsa.",in stock,new,121.10 BRL,88.90 BRL,,https://donaantonia.com.br/kits/kit-cuidados-nivea-novo-kit-promocional-2/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-2.webp,Dona Antônia,Kits promocionais,5,Kit promocional,Promocional,Cuiabá e Várzea Grande,5 produtos,Somente delivery,5,88.9,26.59,5,5,,
kit-novo-kit-promocional-4,Kit Cuidado Capilar Prático com 3 produtos,"Mantenha seus cabelos saudáveis e bem cuidados com este kit prático e eficiente. Inclui: - 1 un Seda Creme para Pentear Toque de 300ml - 1 un Seda Shampoo Toque de 300ml - 1 un Seda Máscara de Tratamento Amino Silk 300g Economia no kit: R$ 8,80 em comparação à compra avulsa.",in stock,new,53.70 BRL,44.90 BRL,,https://donaantonia.com.br/kits/kit-cuidado-capilar-pratico-novo-kit-promocional-4/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-4.webp,Dona Antônia,Kits promocionais,2,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,2,44.9,16.39,3,3,,
kit-novo-kit-promocional-5,Kit Promocional Carmed Hidratante Labial - Leve 3 Pague 2 com 3 produtos,"**Kit Carmed Hidratante Labial: Promoção Leve 3 Pague 2!** 💋 Mantenha seus lábios super hidratados, protegidos e com aromas deliciosos com o combo perfeito da Carmed! Nesta oferta especial, você leva a rotina completa de hidratação labial e o terceiro sai de graça. 📦 **O que vem no kit:** * **1x Carmed Doce de Leite (10g):** Alto poder de hidratação com manteiga de karité e aquele cheirinho inconfundível de doce de leite. Efeito gloss incolor. * **1x Carmed Brigadeiro Ana Castela (10g):** Hidratação profunda com cheirinho de brigadeiro e um leve tom marrom. Lábios macios e com brilho incrível. * **1x Carmed Água de Coco FPS 30 (10g):** Essencial para o dia a dia! Além de hidratar intensamente, possui fator de proteção solar 30 e é resistente à água, protegendo contra os raios UVA e UVB. 💰 **Oferta Especial:** De R$ 56,70 por **R$ 37,80** *Aproveite a versatilidade desse trio: proteção solar para o dia, aromas irresistíveis para qualquer hora e hidratação profunda sempre!*",in stock,new,56.70 BRL,37.80 BRL,,https://donaantonia.com.br/kits/carmed-hidratante-labial-leve-3-pague-2-novo-kit-promocional-5/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-5.webp,Dona Antônia,Kits promocionais,1,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,1,37.8,33.33,3,3,,
kit-novo-kit-promocional-7,Kit Cuidado Capilar Completo com 3 produtos,"O Kit Cuidado Capilar Completo reúne produtos essenciais para manter seus cabelos saudáveis e bem tratados. Inclui: - 1 un Elseve Óleo Extraordinário 100ml - 1 un Elseve Creme de Tratamento Óleo Extraordinário - 1 un Elseve Kit Shampoo e Condicionador Óleo Extraordinário 375ml + 170ml Economia no kit: R$ 23,80 em comparação à compra avulsa.",in stock,new,98.70 BRL,74.90 BRL,,https://donaantonia.com.br/kits/kit-cuidado-capilar-completo-novo-kit-promocional-7/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-7.webp,Dona Antônia,Kits promocionais,1,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,1,74.9,24.11,3,3,,
kit-novo-kit-promocional-8,Kit Cuidados Faciais com 3 produtos,"Mantenha sua rotina de beleza em dia com este kit que reúne produtos essenciais para o cuidado do rosto. Inclui: - 1 un Garnier Hidratante Facial Creme Gel Antimanchas Toque Seco 85g - 1 un Garnier Água Micelar - Vitamina C 400ml - 1 un Gel de Limpeza Facial Express Aclara Hidratante 150g Economia no kit: R$ 21,80 em comparação à compra avulsa.",in stock,new,91.70 BRL,69.90 BRL,,https://donaantonia.com.br/kits/kit-cuidados-faciais-novo-kit-promocional-8/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-8.webp,Dona Antônia,Kits promocionais,1,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,1,69.9,23.77,3,3,,
kit-novo-kit-promocional-9,Kit Cuidados Faciais com 3 produtos,"O Kit Cuidados Faciais reúne produtos essenciais para a sua rotina de beleza, proporcionando limpeza e hidratação para a pele do rosto. Inclui: - 1 un Garnier Hidratante Facial Antissinais Toque Seco, com Colageno 85g - 1 un Garnier Sabonete Limpeza Facial Uniform & Matte Vitamina C 150g - 1 un Garnier Água Micelar - Tudo em 1 400ml Economia no kit: R$ 25,80 em comparação à compra avulsa.",in stock,new,95.70 BRL,69.90 BRL,,https://donaantonia.com.br/kits/kit-cuidados-faciais-novo-kit-promocional-9/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-9.webp,Dona Antônia,Kits promocionais,1,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,1,69.9,26.96,3,3,,
kit-novo-kit-promocional-10,Kit Cuidados Pessoais NIVEA com 4 produtos,"Este kit reúne produtos essenciais da NIVEA para o seu cuidado diário. Inclui: - 1 un NIVEA Sabonete Líquido Intimo Suave 250ml - 1 un NIVEA Sabonete Líquido Óleo de Banho 200ml - 1 un NIVEA Hidratante Labial Original Care 4,8g - 1 un Desodorante Aerosol Feminino NIVEA Protec Care 150ml Economia no kit: R$ 24,60 em comparação à compra avulsa.",in stock,new,94.60 BRL,75.00 BRL,,https://donaantonia.com.br/kits/kit-cuidados-pessoais-nivea-novo-kit-promocional-10/,https://donaantonia.com.br/site/img/kits/novo-kit-promocional-10.webp,Dona Antônia,Kits promocionais,3,Kit promocional,Promocional,Cuiabá e Várzea Grande,4 produtos,Somente delivery,3,75,20.72,4,4,,
kit-novo-kit-promocional-13,Kit Sabonete Dove - Leve 6 Pague 4 com 1 produto,"Mantenha sua higiene em dia com este kit prático e econômico. Inclui: - 6 un Dove Sabonete Original 90g Economia no kit: R$ 6,84 em comparação à compra avulsa.",in stock,new,37.74 BRL,25.16 BRL,,https://donaantonia.com.br/kits/kit-sabonete-dove-leve-6-pague-4-novo-kit-promocional-13/,https://donaantonia.com.br/site/img/kits/b44/2026/07/kit-novo-kit-promocional-13-20260713021243.webp,Dona Antônia,Kits promocionais,4,Kit promocional,Promocional,Cuiabá e Várzea Grande,1 produtos,Somente delivery,4,25.16,33.33,1,6,,
kit-novo-kit-promocional-15,Kit 12 Copos para o Dia a Dia com 1 produto,"Este kit é ideal para quem busca praticidade e funcionalidade na cozinha. Inclui: - 12 un Copo Americano 190ml Economia no kit: R$ 5,67 em comparação à compra avulsa.",in stock,new,22.68 BRL,17.01 BRL,,https://donaantonia.com.br/kits/kit-12-copos-para-o-dia-a-dia-novo-kit-promocional-15/,https://donaantonia.com.br/site/img/kits/b46/2026/07/kit-novo-kit-promocional-15-20260713024452.webp,Dona Antônia,Kits promocionais,3,Kit promocional,Promocional,Cuiabá e Várzea Grande,1 produtos,Somente delivery,3,17.01,25,1,12,,
kit-novo-kit-promocional-15,Kit Higiene Bucal Completo com 3 produtos,"Mantenha sua higiene bucal em dia com este kit prático e econômico. Inclui: - 1 un Escova Dental Colgate Classic Clean Macia - 1 un Creme Dental Colgate Total 12 Anti-Tártaro 180g - 1 un Enxaguante Bucal Colgate Total 12 Gengiva Reforçada 500ml Economia no kit: R$ 12,41 em comparação à compra avulsa.",in stock,new,47.50 BRL,39.29 BRL,,https://donaantonia.com.br/kits/kit-higiene-bucal-completo-novo-kit-promocional-15/,https://donaantonia.com.br/site/img/kits/b46/2026/07/kit-novo-kit-promocional-15-20260713030832.webp,Dona Antônia,Kits promocionais,3,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,3,39.29,17.28,3,3,,
kit-novo-kit-promocional-16,Kit Amendoim - Leve 3 pague 2 com 1 produto,"Aproveite este kit com amendoim torrado, perfeito para petiscar em qualquer ocasião. Inclui: - 3 un Amendoim Torrado Pacha 500g Economia no kit: R$ 14,90 em comparação à compra avulsa.",in stock,new,44.70 BRL,29.80 BRL,,https://donaantonia.com.br/kits/kit-amendoim-leve-3-pague-2-novo-kit-promocional-16/,https://donaantonia.com.br/site/img/kits/b47/2026/07/kit-novo-kit-promocional-16-20260713125406.webp,Dona Antônia,Kits promocionais,2,Kit promocional,Promocional,Cuiabá e Várzea Grande,1 produtos,Somente delivery,2,29.8,33.33,1,3,,
kit-novo-kit-promocional-17,Kit Cuidados Pessoais com 3 produtos,"Este kit reúne itens essenciais para o cuidado pessoal, facilitando sua rotina de higiene e beleza. Inclui: - 1 un Hidramais Sabonete Líquido Ameixa Negra 500ml - 1 un Sabonete Líquido Hidramais Refil Ameixa Negra 400ml - 1 un Hidratante Hidramais Frutas Vermelhas 500ml Economia no kit: R$ 12,25 em comparação à compra avulsa.",in stock,new,55.70 BRL,43.45 BRL,,https://donaantonia.com.br/kits/kit-cuidados-pessoais-novo-kit-promocional-17/,https://donaantonia.com.br/site/img/kits/b48/2026/07/kit-novo-kit-promocional-17-20260715002739.webp,Dona Antônia,Kits promocionais,2,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,2,43.45,21.99,3,3,,
kit-novo-kit-promocional-18,Kit Doces Fini Diversão com 8 produtos,"Aproveite uma seleção deliciosa de balas de gelatina da Fini, perfeita para adoçar o seu dia. Inclui: - 1 un Bala de Gelatina Fini 15g Bananas - 1 un Bala de Gelatina Fini 15g Dentaduras - 1 un Bala de Gelatina Fini 15g Minhocas - 1 un Bala de Gelatina Fini 15g Azedinhos Coloridos - 1 un Bala de Gelatina Fini 15g Azedinhos Morango e Nata - 1 un Bala de Gelatina Fini 15g Morango e Nata - 1 un Bala de Gelatina Fini Tubes Morango e Laranja 15g - 1 un Bala de Gelatina Fini 15g Tutti Frutti Economia no kit: R$ 3,62 em comparação à compra avulsa.",in stock,new,13.52 BRL,9.90 BRL,,https://donaantonia.com.br/kits/kit-doces-fini-diversao-novo-kit-promocional-18/,https://donaantonia.com.br/site/img/kits/b49/2026/07/kit-novo-kit-promocional-18-20260715145743.webp,Dona Antônia,Kits promocionais,1,Kit promocional,Promocional,Cuiabá e Várzea Grande,8 produtos,Somente delivery,1,9.9,26.78,8,8,,
kit-novo-kit-promocional-19,Kit Sabonetes Protex com 4 produtos,"O Kit Sabonetes Protex reúne quatro opções de sabonetes que cuidam da sua pele com praticidade e economia. Inclui: - 1 un Protex Sabonete Nutri Protect - Glicerina + Maçã 85g - 1 un Protex Sabonete Omega 3 85g - 1 un Protex Sabonete Nutri Protect - Glicerina + Vitamina E 85g - 1 un Protex Sabonete Limpeza Profunda 85g Economia no kit: R$ 3,29 em comparação à compra avulsa.",in stock,new,16.46 BRL,13.17 BRL,,https://donaantonia.com.br/kits/kit-sabonetes-protex-novo-kit-promocional-19/,https://donaantonia.com.br/site/img/kits/b50/2026/07/kit-novo-kit-promocional-19-20260715152006.webp,Dona Antônia,Kits promocionais,5,Kit promocional,Promocional,Cuiabá e Várzea Grande,4 produtos,Somente delivery,5,13.17,19.99,4,4,,
kit-novo-kit-promocional-20,Kit Petiscos Ruffles com 2 produtos,"Aproveite momentos de descontração com este kit de petiscos que reúne os sabores irresistíveis da Ruffles. Inclui: - 1 un Ruffles Batata Original Cream e Cebola Tubo 134g - 1 un Ruffles Batata Cheddar Tubo 134g Economia no kit: R$ 5,56 em comparação à compra avulsa.",in stock,new,27.80 BRL,22.24 BRL,,https://donaantonia.com.br/kits/kit-petiscos-ruffles-novo-kit-promocional-20/,https://donaantonia.com.br/site/img/kits/b72/2026/07/kit-novo-kit-promocional-20-20260715152530.webp,Dona Antônia,Kits promocionais,1,Kit promocional,Promocional,Cuiabá e Várzea Grande,2 produtos,Somente delivery,1,22.24,20,2,2,,
kit-novo-kit-promocional-21,Kit Molhos para Salada com 3 produtos,"Aproveite uma seleção deliciosa de molhos para salada, ideal para dar um toque especial às suas refeições. Inclui: - 1 un Liza Molho para Salada Queijos Ervas e Especiarias 234ml - 1 un Liza Molho para Salada Limão 234ml - 1 un Liza Molho para Salada Rosé 234ml Economia no kit: R$ 5,66 em comparação à compra avulsa.",in stock,new,28.30 BRL,22.64 BRL,,https://donaantonia.com.br/kits/kit-molhos-para-salada-novo-kit-promocional-21/,https://donaantonia.com.br/site/img/kits/b73/2026/07/kit-novo-kit-promocional-21-20260715153015.webp,Dona Antônia,Kits promocionais,3,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,3,22.64,20,3,3,,
kit-novo-kit-promocional-22,Kit Molhos para Lanches com 2 produtos,"O Kit Molhos para Lanches é ideal para quem deseja sabor e praticidade nas refeições. Inclui: - 1 un Heinz Ketchup Bacon & Cebola Caramelizada 397g - 1 un Heinz Ketchup Tradicional 397g Economia no kit: R$ 5,96 em comparação à compra avulsa.",in stock,new,29.80 BRL,23.84 BRL,,https://donaantonia.com.br/kits/kit-molhos-para-lanches-novo-kit-promocional-22/,https://donaantonia.com.br/site/img/kits/b74/2026/07/kit-novo-kit-promocional-22-20260715153540.webp,Dona Antônia,Kits promocionais,4,Kit promocional,Promocional,Cuiabá e Várzea Grande,2 produtos,Somente delivery,4,23.84,20,2,2,,
kit-novo-kit-promocional-23,Kit Sabonetes Phebo com 8 produtos,"Descubra a variedade de sabonetes Phebo que trazem aromas únicos para o seu dia a dia. Inclui: - 1 un Phebo Sabonete Naturale 90g - 1 un Phebo Sabonete Frescor da Manha 90g - 1 un Phebo Sabonete Patchouly 90g - 1 un Phebo Sabonete Amazonian 90g - 1 un Phebo Sabonete Toque de Lavanda 90g - 1 un Phebo Sabonete Odor de Rosas 90g - 1 un Phebo Sabonete Lima da Pérsia 90g - 1 un Phebo Sabonete Raiz do Oriente 90g Economia no kit: R$ 39,92 em comparação à compra avulsa.",in stock,new,39.92 BRL,31.94 BRL,,https://donaantonia.com.br/kits/kit-sabonetes-phebo-novo-kit-promocional-23/,https://donaantonia.com.br/site/img/kits/b75/2026/07/kit-novo-kit-promocional-23-20260715154723.webp,Dona Antônia,Kits promocionais,10,Kit promocional,Promocional,Cuiabá e Várzea Grande,8 produtos,Somente delivery,10,31.94,19.99,8,8,,
kit-novo-kit-promocional-24,Kit Chás Relaxantes com 4 produtos,"Desfrute de uma seleção de chás Leão para momentos de tranquilidade e sabor. Inclui: - 1 un Chá Leão Erva-Doce 25 sachês - 1 un Leão Chá de Hortelã com 25 sachês - 1 un Leão Chá de Camomila com 25 sachês - 1 un Leão Chá Matte Natural com 25 sachês Economia no kit: R$ 6,39 em comparação à compra avulsa.",in stock,new,31.96 BRL,25.57 BRL,,https://donaantonia.com.br/kits/kit-chas-relaxantes-novo-kit-promocional-24/,https://donaantonia.com.br/site/img/kits/b76/2026/07/kit-novo-kit-promocional-24-20260715155258.webp,Dona Antônia,Kits promocionais,5,Kit promocional,Promocional,Cuiabá e Várzea Grande,4 produtos,Somente delivery,5,25.57,19.99,4,4,,
kit-novo-kit-promocional-25,Kit Molhos de Tomate com 3 produtos,"Aproveite o sabor autêntico dos molhos Heinz com este kit prático e versátil. Inclui: - 1 un Heinz Molho de Tomate Basilico em Vidro 320g - 1 un Heinz Molho de Tomate Rustico Oliva em Vidro 320g - 1 un Heinz Molho de Tomate Rustico Tradicional em Vidro 320g Economia no kit: R$ 8,94 em comparação à compra avulsa.",in stock,new,44.70 BRL,35.76 BRL,,https://donaantonia.com.br/kits/kit-molhos-de-tomate-novo-kit-promocional-25/,https://donaantonia.com.br/site/img/kits/b77/2026/07/kit-novo-kit-promocional-25-20260715155703.webp,Dona Antônia,Kits promocionais,3,Kit promocional,Promocional,Cuiabá e Várzea Grande,3 produtos,Somente delivery,3,35.76,20,3,3,,
kit-novo-kit-promocional-26,Kit Tira Manchas para Roupas Brancas com 2 produtos,"Mantenha suas roupas brancas impecáveis com este kit prático e eficiente. Inclui: - 1 un Vanish Tira Manchas Líquido Crystal White para Roupas Brancas 1,2L - 1 un Vanish Tira Manchas Líquido Multiuso para Roupas Brancas 1,2L Economia no kit: R$ 9,56 em comparação à compra avulsa.",in stock,new,47.80 BRL,38.24 BRL,,https://donaantonia.com.br/kits/kit-tira-manchas-para-roupas-brancas-novo-kit-promocional-26/,https://donaantonia.com.br/site/img/kits/b78/2026/07/kit-novo-kit-promocional-26-20260715165056.webp,Dona Antônia,Kits promocionais,2,Kit promocional,Promocional,Cuiabá e Várzea Grande,2 produtos,Somente delivery,2,38.24,20,2,2,,
kit-novo-kit-promocional-27,Kit Gelatinas Variadas com 5 produtos,"O Kit Gelatinas Variadas é ideal para quem quer preparar sobremesas práticas e deliciosas. Inclui: - 1 un Sol Gelatina Framboesa 20g - 1 un Sol Gelatina Limão 20g - 1 un Sol Gelatina Uva 20g - 1 un Sol Gelatina Morango 20g - 1 un Sol Gelatina Maracujá 20g Economia no kit: R$ 2,05 em comparação à compra avulsa.",in stock,new,9.00 BRL,6.95 BRL,,https://donaantonia.com.br/kits/kit-gelatinas-variadas-novo-kit-promocional-27/,https://donaantonia.com.br/site/img/kits/b79/2026/07/kit-novo-kit-promocional-27-20260715165716.webp,Dona Antônia,Kits promocionais,2,Kit promocional,Promocional,Cuiabá e Várzea Grande,5 produtos,Somente delivery,2,6.95,22.78,5,5,,
kit-novo-kit-promocional-28,Kit Massas Variadas com 5 produtos,"Descubra uma seleção de massas que traz praticidade e sabor para suas refeições. Inclui: - 1 un Macarrão Urbano Integral Penne 500g - 1 un Macarrão Parafuso Urbano Arroz e Feijão Preto Zero Glúten 500g - 1 un Urbano Macarrão de Arroz e Espinafre Mini Pena 500g - 1 un Urbano Macarrão Espaguete Zero Glúten 500g - 1 un Urbano Macarrão Parafuso Zero Glúten 500g Economia no kit: R$ 8,15 em comparação à compra avulsa.",in stock,new,38.10 BRL,29.95 BRL,,https://donaantonia.com.br/kits/kit-massas-variadas-novo-kit-promocional-28/,https://donaantonia.com.br/site/img/kits/b80/2026/07/kit-novo-kit-promocional-28-20260715170443.webp,Dona Antônia,Kits promocionais,4,Kit promocional,Promocional,Cuiabá e Várzea Grande,5 produtos,Somente delivery,4,29.95,21.39,5,5,,
kit-novo-kit-promocional-29,Kit Café da Manhã Prático com 4 produtos,"Comece o dia com um café da manhã variado e saboroso. Inclui: - 1 un Naturale Barra de Cereal Natural Castanha e Aveia 25g - 1 un Naturale Barra de Cereal Coco e Aveia 25g - 1 un Naturale Barra Cereais Bri/Ave/Choc 25g - 1 un Naturale Barra Cereais Nat Doce/Leite/Choc 25g Economia no kit: R$ 1,80 em comparação à compra avulsa.",in stock,new,6.00 BRL,4.20 BRL,,https://donaantonia.com.br/kits/kit-cafe-da-manha-pratico-novo-kit-promocional-29/,https://donaantonia.com.br/site/img/kits/b81/2026/07/kit-novo-kit-promocional-29-20260715170732.webp,Dona Antônia,Kits promocionais,10,Kit promocional,Promocional,Cuiabá e Várzea Grande,4 produtos,Somente delivery,10,4.2,30,4,4,,
